,sp,d,fr,sk,sd,n,seed,dens,disc,mxmin,mnmax,eOpt,covCon,delaunayErrEst0.1,rbfErrEst0.1,gpErrEst0.1,delaunayIntError0.1,rbfIntError0.1,gpIntError0.1,mlpIntErr0.1,delaunayErrEst2.0,rbfErrEst2.0,gpErrEst2.0,delaunayIntError2.0,rbfIntError2.0,gpIntError2.0,mlpIntErr2.0
0,sob,5,0.0,0.0,1.0,1024,0,32.0,0.6691113648500506,0.2000038116712647,0.8055002875354338,18.47436327977358,0.999950936920907,13.755202483936474,0.1473909292170974,0.0006122248255408,0.016338596681631,0.0003418417617352,0.00044360030304,0.003365522282364,13.3509585330147,0.1959808348729348,0.0516537423520071,0.094028544936369,0.0210928108402633,0.0093812426641213,0.0429033874875289
1,sob,5,0.0,0.0,1.0,1024,1,32.0,0.6692785307628424,0.1974737238160681,0.7594289307364943,18.460067762043288,0.9983629551571545,5.168597551502754,0.1874096097522543,0.0009621627046573,0.0250715079190377,0.0009584978402859,0.0007742115497291,0.0131195382813929,22.43712327161372,0.1965227232535098,0.0660308132173307,0.0839496976766388,0.0252175677669893,0.0095841514030862,0.0513466371832136
2,sob,5,0.0,0.0,1.0,1024,2,32.0,0.6692460790494148,0.2021887766190633,0.8679999767430955,18.47519529515012,0.9999985581837164,3.0525189802013704,0.1640527355359017,0.0006455976962316,0.0220815163135513,0.0006115562177583,0.0004492905094631,0.0049669309907815,2.981104716893385,0.1920316858350253,0.0930109581828179,0.1047474059422354,0.0282136735891653,0.0160354608153467,0.0331780679484726
3,sob,5,0.0,0.0,1.0,1024,3,32.0,0.6692883632692213,0.1992796468417305,0.8250442754154454,18.474785742791017,0.9999542243257358,15.405653071942837,0.1666886242949042,0.0006576299296013,0.022568527242293,0.0007349734372057,0.0005141531499749,0.0029671947858616,98.79712034574474,0.1047262717422879,0.1386235459773601,0.0918828143202324,0.0317490599484908,0.042826025284465,0.047405965838712
4,sob,5,0.0,0.0,1.0,1024,4,32.0,0.6692650345116684,0.1010752601096024,0.7875838918008319,18.475102897769627,0.9999885559732256,2.220255675087475,0.1562265909622966,0.0006833495071016,0.0186628582869374,0.000462333572637,0.000449166864072,0.0101575536241662,75.14835133694491,0.0725106869071707,0.1623276908993462,0.2524521220050744,0.0276779042128781,0.0710458151471354,0.0226377387138169
5,sob,5,0.0,0.0,1.0,16384,0,512.0,0.6692509241506781,0.0589630937953833,0.4894481559058009,73.90083445627208,0.9999999999999996,4.601280016898462,0.1505255952266937,3.455797937352876e-06,0.0069557241445182,1.419568759930545e-06,6.617789075069602e-07,0.0015581304978244,46.57286731423636,0.211502568531546,0.0011981876142039,0.0826775474330813,0.0073236531567062,0.0002140606080251,0.0004359147156818
6,sob,5,0.0,0.0,1.0,16384,1,512.0,0.6692509898122267,0.0849299231403666,0.4586987811330322,73.90083445304589,0.9999999999563436,1.3320926638366175,0.1412790628205634,3.433208353455639e-06,0.0059733644587912,2.414680086437748e-07,4.459717009575037e-07,0.0011308972305742,15.849760876006664,0.2150490168973865,0.0007546953311231,0.0289201861649886,0.0038000611954493,6.829299467078775e-05,0.00165956641424
7,sob,5,0.0,0.0,1.0,16384,2,512.0,0.6692507963341106,0.0792644947439917,0.4626408226565267,73.90083445627208,0.9999999999999996,8.343280852638788,0.1371787867342333,3.352642242806568e-06,0.0056240752713194,6.360243084424511e-07,6.619205165647735e-07,0.0009300559633567,131.19440520106582,0.2355931064066254,0.0037661861771838,0.0363442326745182,0.0085116025991782,0.0005459885709663,0.0035418119921833
8,sob,5,0.0,0.0,1.0,16384,3,512.0,0.6692506518227535,0.0863435015488091,0.4963474197574838,73.9008344562721,0.9999999999999996,1.232942043803917,0.1405177017317143,3.347256609911321e-06,0.0060560277587524,8.862774541484875e-07,6.213345560279748e-07,0.0006049616668604,198.5431671065017,0.214083743749157,0.0092834788527718,0.0407428482161608,0.0124938327309948,0.0018629079272057,0.0041790650743851
9,sob,5,0.0,0.0,1.0,16384,4,512.0,0.6692505258621733,0.0721265233288784,0.4491844117238359,73.90083445626586,0.9999999999999146,0.6134704869340278,0.0789730458399627,2.9998427905628484e-06,0.0021227383266329,3.240572217788618e-07,5.208579746951436e-07,0.0012806364029388,3033.392556275962,0.1509038622568844,0.0160645368963258,0.2555743636527145,0.0143529111048253,0.0052433904315052,0.0016846875044918
